DATE,DODFS
2016-07-01,14573.13
2016-10-01,14548.528
2017-01-01,14608.945
2017-04-01,14730.277
2017-07-01,14886.514
2017-10-01,14848.269
2018-01-01,14896.851
2018-04-01,14916.464
2018-07-01,14986.555
2018-10-01,15090.286
2019-01-01,15157.21
2019-04-01,15287.895
2019-07-01,15454.47
2019-10-01,15483.495
2020-01-01,16636.686
2020-04-01,16170.137
2020-07-01,16168.151
2020-10-01,16440.637
2021-01-01,16690.503
2021-04-01,17328.663
2021-07-01,17542.156
2021-10-01,17724.261
2022-01-01,18294.436
2022-04-01,18591.77
2022-07-01,18859.752
2022-10-01,19346.815
2023-01-01,19937.861
2023-04-01,19629.555
2023-07-01,19513.237
2023-10-01,19684.657
