DATE,RealGDP
01/04/2013,17709.671
01/07/2013,17860.45
01/10/2013,18016.147
01/01/2014,17953.974
01/04/2014,18185.911
01/07/2014,18406.941
01/10/2014,18500.031
01/01/2015,18666.621
01/04/2015,18782.243
01/07/2015,18857.418
01/10/2015,18892.206
01/01/2016,19001.69
01/04/2016,19062.709
01/07/2016,19197.938
01/10/2016,19304.352
01/01/2017,19398.343
01/04/2017,19506.949
01/07/2017,19660.766
01/10/2017,19882.352
01/01/2018,20044.077
01/04/2018,20150.476
01/07/2018,20276.154
01/10/2018,20304.874
01/01/2019,20415.15
01/04/2019,20584.528
01/07/2019,20817.581
01/10/2019,20951.088
01/01/2020,20665.553
01/04/2020,19034.83
01/07/2020,20511.785
01/10/2020,20724.128
01/01/2021,20990.541
01/04/2021,21309.544
01/07/2021,21483.083
01/10/2021,21847.602
01/01/2022,21738.871
01/04/2022,21708.16
01/07/2022,21851.134
01/10/2022,21989.981
01/01/2023,22112.329
01/04/2023,22225.35
01/07/2023,22491.567
